index	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
94402	16288	16288	16288	16288	1.1849287126228992e+16	129375695.0	0.0	0.0	0.0	0.0			Today on WF, @pwoland talks about the goodies he's excited about this season! http://bit.ly/ewPpUG #inception #kindle #adultswim	0.001	0.0416	0.9574
86391	8277	8277	8277	8277	1.4892852307820544e+16	198342529.0	0.0	0.0	0.0	0.0			Btw if you have the iPhone download the #inception app, it's freaking awesome/trippy #gottagodeeper	0.0025	0.0086	0.9889
70429	1898	1898	1898	1898	27911800934.0	58336355.0	0.0	0.0	0.0	0.0			My life is nw like #inception a lot of complicated deals and transaction	0.56	0.4098	0.0302
20443	17759	17759	17759	17759	19648595693.0	73010860.0	0.0	0.0	0.0	0.0			Saw #inception last night. Probably the trigger for my crazy dream	0.1142	0.6545	0.2313
18522	15838	15838	15838	15838	19685138934.0	55184301.0	0.0	0.0	0.0	0.0			Everyone is talking about #Inception and if you haven't seen it yet, read our review http://tinyurl.com/29cbt4f. Thanks Tommy! ~Dianna	0.0036	0.1396	0.8567
10400	7716	7716	7716	7716	19853373492.0	112521789.0	0.0	0.0	0.0	0.0			#Inception My totem would be Mo'nique if she was anywhere using her inside voice I was dreamin	0.0689	0.7325	0.1986
70679	2148	2148	2148	2148	27717804912.0	88986816.0	0.0	0.0	0.0	506.0	21439134479.0	retweeted	RT @LeoDiCaprio: Thanks for sharing. RT @mikeyyyc: Wow #Inception with @leodicaprio is #3 on IMDB top 250 movies of all time http://imdb ...	0.0015	0.0272	0.9713
40722	7948	7948	7948	7947	21643259077.0	24671409.0	0.0	0.0	0.0	0.0			I think positive emotion trumps negative emotion every time. #inception #cobb	0.0585	0.3998	0.5417
49043	16269	16269	16269	16268	21134731631.0	31526637.0	0.0	0.0	0.0	0.0			Wow.. #inception  is movie perfection	0.0054	0.0193	0.9754
66778	3910	3910	3910	3910	23203534592.0	54425030.0	0.0	0.0	0.0	1.0			My question to you is: Is your totem still spinning or has it stopped?! #Inception	0.123	0.8119	0.0651
